variant,ticker,signal_date,entry_policy,method,holding_sessions,entry_at,exit_at,short_phase_end,counterfactual_unconverted_path,valid_event_marks,worst_observed_event_cover_pnl,worst_event_at,largest_observed_event_cover_loss,minute_worst_cover_pnl,basis
delta10_otm5,DIS,2026-06-12,clock,immediate_spread,4,2026-06-15 10:01:00-04:00,2026-06-18 15:50:00-04:00,2026-06-15 10:01:00-04:00,False,0,,,,-11.300000000000002,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,DIS,2026-06-12,clock,deferred_d0,4,2026-06-15 10:01:00-04:00,2026-06-18 15:50:00-04:00,2026-06-18 15:50:00-04:00,False,69166,-242.3,2026-06-16 09:30:45.915000-04:00,242.3,-36.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,DIS,2026-06-12,clock,deferred_d1,4,2026-06-15 10:01:00-04:00,2026-06-18 15:50:00-04:00,2026-06-18 15:50:00-04:00,False,69166,-242.3,2026-06-16 09:30:45.915000-04:00,242.3,-36.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,DIS,2026-06-12,clock,deferred_d2,4,2026-06-15 10:01:00-04:00,2026-06-18 15:50:00-04:00,2026-06-18 15:50:00-04:00,False,69166,-242.3,2026-06-16 09:30:45.915000-04:00,242.3,-36.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,DIS,2026-06-12,clock,short_only,4,2026-06-15 10:01:00-04:00,2026-06-18 15:50:00-04:00,2026-06-18 15:50:00-04:00,False,69166,-242.3,2026-06-16 09:30:45.915000-04:00,242.3,-36.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,DIS,2026-06-12,clock,immediate_spread,5,2026-06-15 10:01:00-04:00,2026-06-22 15:50:00-04:00,2026-06-15 10:01:00-04:00,False,0,,,,-11.300000000000002,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,DIS,2026-06-12,clock,deferred_d0,5,2026-06-15 10:01:00-04:00,2026-06-22 15:50:00-04:00,2026-06-22 15:50:00-04:00,False,92218,-1476.3,2026-06-22 09:31:59.272000-04:00,1476.3,-36.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,DIS,2026-06-12,clock,deferred_d1,5,2026-06-15 10:01:00-04:00,2026-06-22 15:50:00-04:00,2026-06-22 15:50:00-04:00,False,92218,-1476.3,2026-06-22 09:31:59.272000-04:00,1476.3,-36.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,DIS,2026-06-12,clock,deferred_d2,5,2026-06-15 10:01:00-04:00,2026-06-22 15:50:00-04:00,2026-06-22 15:50:00-04:00,False,92218,-1476.3,2026-06-22 09:31:59.272000-04:00,1476.3,-36.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,DIS,2026-06-12,clock,short_only,5,2026-06-15 10:01:00-04:00,2026-06-22 15:50:00-04:00,2026-06-22 15:50:00-04:00,False,92218,-1476.3,2026-06-22 09:31:59.272000-04:00,1476.3,-36.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,MRVL,2026-06-15,clock,immediate_spread,4,2026-06-16 10:01:00-04:00,2026-06-22 15:50:00-04:00,2026-06-16 10:01:00-04:00,False,0,,,,-43.29999999999999,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,MRVL,2026-06-15,clock,deferred_d0,4,2026-06-16 10:01:00-04:00,2026-06-22 15:50:00-04:00,2026-06-16 10:35:00-04:00,False,14901,-73.29999999999997,2026-06-16 10:17:13.908000-04:00,73.29999999999997,-64.29999999999998,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,MRVL,2026-06-15,clock,deferred_d1,4,2026-06-16 10:01:00-04:00,2026-06-22 15:50:00-04:00,2026-06-17 09:44:00-04:00,False,75354,-279.3,2026-06-17 09:30:00.632000-04:00,279.3,-64.29999999999998,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,MRVL,2026-06-15,clock,deferred_d2,4,2026-06-16 10:01:00-04:00,2026-06-22 15:50:00-04:00,2026-06-18 09:34:00-04:00,False,132405,-279.3,2026-06-17 09:30:00.632000-04:00,279.3,-64.29999999999998,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,MRVL,2026-06-15,clock,short_only,4,2026-06-16 10:01:00-04:00,2026-06-22 15:50:00-04:00,2026-06-22 15:50:00-04:00,False,255832,-279.3,2026-06-17 09:30:00.632000-04:00,279.3,-64.29999999999998,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,MRVL,2026-06-15,clock,immediate_spread,5,2026-06-16 10:01:00-04:00,2026-06-23 15:50:00-04:00,2026-06-16 10:01:00-04:00,False,0,,,,-43.29999999999999,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,MRVL,2026-06-15,clock,deferred_d0,5,2026-06-16 10:01:00-04:00,2026-06-23 15:50:00-04:00,2026-06-16 10:35:00-04:00,False,14901,-73.29999999999997,2026-06-16 10:17:13.908000-04:00,73.29999999999997,-64.29999999999998,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,MRVL,2026-06-15,clock,deferred_d1,5,2026-06-16 10:01:00-04:00,2026-06-23 15:50:00-04:00,2026-06-17 09:44:00-04:00,False,75354,-279.3,2026-06-17 09:30:00.632000-04:00,279.3,-64.29999999999998,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,MRVL,2026-06-15,clock,deferred_d2,5,2026-06-16 10:01:00-04:00,2026-06-23 15:50:00-04:00,2026-06-18 09:34:00-04:00,False,132405,-279.3,2026-06-17 09:30:00.632000-04:00,279.3,-64.29999999999998,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,MRVL,2026-06-15,clock,short_only,5,2026-06-16 10:01:00-04:00,2026-06-23 15:50:00-04:00,2026-06-23 15:50:00-04:00,False,272360,-279.3,2026-06-17 09:30:00.632000-04:00,279.3,-64.29999999999998,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,MRVL,2026-06-15,hiro,immediate_spread,4,2026-06-16 14:16:00-04:00,2026-06-22 15:50:00-04:00,2026-06-16 14:16:00-04:00,False,0,,,,-27.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,MRVL,2026-06-15,hiro,deferred_d0,4,2026-06-16 14:16:00-04:00,2026-06-22 15:50:00-04:00,2026-06-22 15:50:00-04:00,False,199172,-378.3,2026-06-17 09:30:00.632000-04:00,378.3,-128.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,MRVL,2026-06-15,hiro,deferred_d1,4,2026-06-16 14:16:00-04:00,2026-06-22 15:50:00-04:00,2026-06-17 10:10:00-04:00,False,23175,-378.3,2026-06-17 09:30:00.632000-04:00,378.3,-51.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,MRVL,2026-06-15,hiro,deferred_d2,4,2026-06-16 14:16:00-04:00,2026-06-22 15:50:00-04:00,2026-06-22 15:50:00-04:00,False,199172,-378.3,2026-06-17 09:30:00.632000-04:00,378.3,-128.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,MRVL,2026-06-15,hiro,short_only,4,2026-06-16 14:16:00-04:00,2026-06-22 15:50:00-04:00,2026-06-22 15:50:00-04:00,False,199172,-378.3,2026-06-17 09:30:00.632000-04:00,378.3,-128.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,MRVL,2026-06-15,hiro,immediate_spread,5,2026-06-16 14:16:00-04:00,2026-06-23 15:50:00-04:00,2026-06-16 14:16:00-04:00,False,0,,,,-27.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,MRVL,2026-06-15,hiro,deferred_d0,5,2026-06-16 14:16:00-04:00,2026-06-23 15:50:00-04:00,2026-06-23 15:50:00-04:00,False,215700,-378.3,2026-06-17 09:30:00.632000-04:00,378.3,-128.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,MRVL,2026-06-15,hiro,deferred_d1,5,2026-06-16 14:16:00-04:00,2026-06-23 15:50:00-04:00,2026-06-17 10:10:00-04:00,False,23175,-378.3,2026-06-17 09:30:00.632000-04:00,378.3,-51.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,MRVL,2026-06-15,hiro,deferred_d2,5,2026-06-16 14:16:00-04:00,2026-06-23 15:50:00-04:00,2026-06-23 15:50:00-04:00,False,215700,-378.3,2026-06-17 09:30:00.632000-04:00,378.3,-128.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,MRVL,2026-06-15,hiro,short_only,5,2026-06-16 14:16:00-04:00,2026-06-23 15:50:00-04:00,2026-06-23 15:50:00-04:00,False,215700,-378.3,2026-06-17 09:30:00.632000-04:00,378.3,-128.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,ORCL,2026-06-15,clock,immediate_spread,4,2026-06-16 10:01:00-04:00,2026-06-22 15:50:00-04:00,2026-06-16 10:01:00-04:00,False,0,,,,-15.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,ORCL,2026-06-15,clock,deferred_d0,4,2026-06-16 10:01:00-04:00,2026-06-22 15:50:00-04:00,2026-06-16 10:19:00-04:00,False,5136,-15.299999999999999,2026-06-16 10:01:00.302000-04:00,15.299999999999999,-15.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,ORCL,2026-06-15,clock,deferred_d1,4,2026-06-16 10:01:00-04:00,2026-06-22 15:50:00-04:00,2026-06-17 09:32:00-04:00,False,33373,-919.3,2026-06-17 09:30:59.934000-04:00,919.3,-919.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,ORCL,2026-06-15,clock,deferred_d2,4,2026-06-16 10:01:00-04:00,2026-06-22 15:50:00-04:00,2026-06-18 09:44:00-04:00,False,74737,-919.3,2026-06-17 09:30:59.934000-04:00,919.3,-919.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,ORCL,2026-06-15,clock,short_only,4,2026-06-16 10:01:00-04:00,2026-06-22 15:50:00-04:00,2026-06-22 15:50:00-04:00,False,133536,-919.3,2026-06-17 09:30:59.934000-04:00,919.3,-919.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,ORCL,2026-06-15,clock,immediate_spread,5,2026-06-16 10:01:00-04:00,2026-06-23 15:50:00-04:00,2026-06-16 10:01:00-04:00,False,0,,,,-15.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,ORCL,2026-06-15,clock,deferred_d0,5,2026-06-16 10:01:00-04:00,2026-06-23 15:50:00-04:00,2026-06-16 10:19:00-04:00,False,5136,-15.299999999999999,2026-06-16 10:01:00.302000-04:00,15.299999999999999,-15.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,ORCL,2026-06-15,clock,deferred_d1,5,2026-06-16 10:01:00-04:00,2026-06-23 15:50:00-04:00,2026-06-17 09:32:00-04:00,False,33373,-919.3,2026-06-17 09:30:59.934000-04:00,919.3,-919.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,ORCL,2026-06-15,clock,deferred_d2,5,2026-06-16 10:01:00-04:00,2026-06-23 15:50:00-04:00,2026-06-18 09:44:00-04:00,False,74737,-919.3,2026-06-17 09:30:59.934000-04:00,919.3,-919.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,ORCL,2026-06-15,clock,short_only,5,2026-06-16 10:01:00-04:00,2026-06-23 15:50:00-04:00,2026-06-23 15:50:00-04:00,False,155631,-919.3,2026-06-17 09:30:59.934000-04:00,919.3,-919.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,PLTR,2026-06-11,clock,immediate_spread,4,2026-06-12 10:01:00-04:00,2026-06-17 15:50:00-04:00,2026-06-12 10:01:00-04:00,False,0,,,,-5.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,PLTR,2026-06-11,clock,deferred_d0,4,2026-06-12 10:01:00-04:00,2026-06-17 15:50:00-04:00,2026-06-12 11:55:00-04:00,False,33305,-6.3,2026-06-12 10:02:07.812000-04:00,6.3,-5.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,PLTR,2026-06-11,clock,deferred_d1,4,2026-06-12 10:01:00-04:00,2026-06-17 15:50:00-04:00,2026-06-15 09:40:00-04:00,False,66900,-20.3,2026-06-15 09:30:00.802000-04:00,20.3,-5.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,PLTR,2026-06-11,clock,deferred_d2,4,2026-06-12 10:01:00-04:00,2026-06-17 15:50:00-04:00,2026-06-16 09:32:00-04:00,False,163818,-21.3,2026-06-16 09:30:01.863000-04:00,21.3,-16.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,PLTR,2026-06-11,clock,short_only,4,2026-06-12 10:01:00-04:00,2026-06-17 15:50:00-04:00,2026-06-17 15:50:00-04:00,False,274652,-21.3,2026-06-16 09:30:01.863000-04:00,21.3,-16.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,PLTR,2026-06-11,clock,immediate_spread,5,2026-06-12 10:01:00-04:00,2026-06-18 15:50:00-04:00,2026-06-12 10:01:00-04:00,False,0,,,,-5.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,PLTR,2026-06-11,clock,deferred_d0,5,2026-06-12 10:01:00-04:00,2026-06-18 15:50:00-04:00,2026-06-12 11:55:00-04:00,False,33305,-6.3,2026-06-12 10:02:07.812000-04:00,6.3,-5.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,PLTR,2026-06-11,clock,deferred_d1,5,2026-06-12 10:01:00-04:00,2026-06-18 15:50:00-04:00,2026-06-15 09:40:00-04:00,False,66900,-20.3,2026-06-15 09:30:00.802000-04:00,20.3,-5.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,PLTR,2026-06-11,clock,deferred_d2,5,2026-06-12 10:01:00-04:00,2026-06-18 15:50:00-04:00,2026-06-16 09:32:00-04:00,False,163818,-21.3,2026-06-16 09:30:01.863000-04:00,21.3,-16.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,PLTR,2026-06-11,clock,short_only,5,2026-06-12 10:01:00-04:00,2026-06-18 15:50:00-04:00,2026-06-18 15:50:00-04:00,False,292169,-21.3,2026-06-16 09:30:01.863000-04:00,21.3,-16.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,QCOM,2026-06-15,hiro,immediate_spread,4,2026-06-16 11:11:00-04:00,2026-06-22 15:50:00-04:00,2026-06-16 11:11:00-04:00,False,0,,,,-50.30000000000002,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,QCOM,2026-06-15,hiro,deferred_d0,4,2026-06-16 11:11:00-04:00,2026-06-22 15:50:00-04:00,2026-06-22 15:50:00-04:00,False,182906,-1311.3,2026-06-18 09:30:00.524000-04:00,1311.3,-186.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,QCOM,2026-06-15,hiro,deferred_d1,4,2026-06-16 11:11:00-04:00,2026-06-22 15:50:00-04:00,2026-06-17 09:50:00-04:00,False,31498,-176.3,2026-06-17 09:30:00.096000-04:00,176.3,-50.30000000000002,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,QCOM,2026-06-15,hiro,deferred_d2,4,2026-06-16 11:11:00-04:00,2026-06-22 15:50:00-04:00,2026-06-22 15:50:00-04:00,False,182906,-1311.3,2026-06-18 09:30:00.524000-04:00,1311.3,-186.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,QCOM,2026-06-15,hiro,short_only,4,2026-06-16 11:11:00-04:00,2026-06-22 15:50:00-04:00,2026-06-22 15:50:00-04:00,False,182906,-1311.3,2026-06-18 09:30:00.524000-04:00,1311.3,-186.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,QCOM,2026-06-15,hiro,immediate_spread,5,2026-06-16 11:11:00-04:00,2026-06-23 15:50:00-04:00,2026-06-16 11:11:00-04:00,False,0,,,,-50.30000000000002,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,QCOM,2026-06-15,hiro,deferred_d0,5,2026-06-16 11:11:00-04:00,2026-06-23 15:50:00-04:00,2026-06-23 15:50:00-04:00,False,205351,-1311.3,2026-06-18 09:30:00.524000-04:00,1311.3,-186.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,QCOM,2026-06-15,hiro,deferred_d1,5,2026-06-16 11:11:00-04:00,2026-06-23 15:50:00-04:00,2026-06-17 09:50:00-04:00,False,31498,-176.3,2026-06-17 09:30:00.096000-04:00,176.3,-50.30000000000002,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,QCOM,2026-06-15,hiro,deferred_d2,5,2026-06-16 11:11:00-04:00,2026-06-23 15:50:00-04:00,2026-06-23 15:50:00-04:00,False,205351,-1311.3,2026-06-18 09:30:00.524000-04:00,1311.3,-186.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,QCOM,2026-06-15,hiro,short_only,5,2026-06-16 11:11:00-04:00,2026-06-23 15:50:00-04:00,2026-06-23 15:50:00-04:00,False,205351,-1311.3,2026-06-18 09:30:00.524000-04:00,1311.3,-186.3,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
