ticker,signal_date,side,orats_first_bid,orats_first_ask,orats_second_bid,orats_second_ask,theta_first_bid,theta_first_ask,theta_second_bid,theta_second_ask,screen_cost,theta_same_day_cost
ANET,2026-09-02,put,0.01,0.06,0.02,0.07,0.01,0.06,0.02,0.07,0.0399999999999999,0.039999999999999994
BE,2026-09-02,put,0.28,0.34,0.25,0.28,0.27,0.51,0.25,0.28,0.09,0.26
BMNR,2026-09-02,put,0.02,0.06,0.01,0.03,0.02,0.06,0.01,0.03,0.0499999999999999,0.049999999999999996
CRWV,2026-09-02,put,0.02,0.03,0.01,0.04,0.02,0.03,0.01,0.04,0.0199999999999999,0.019999999999999997
GOOG,2026-09-02,put,0.01,0.03,0.01,0.06,0.01,0.03,0.01,0.06,0.0199999999999999,0.019999999999999997
GOOGL,2026-09-02,put,0.18,0.23,0.15,0.2,0.18,0.23,0.15,0.2,0.08,0.08000000000000002
IREN,2026-09-02,put,0.02,0.07,0.01,0.06,0.02,0.07,0.01,0.06,0.06,0.060000000000000005
MRVL,2026-09-02,put,0.01,0.03,0.01,0.02,0.01,0.03,0.01,0.02,0.0199999999999999,0.019999999999999997
NVDA,2026-09-02,put,0.04,0.05,0.04,0.05,0.04,0.05,0.04,0.05,0.01,0.010000000000000002
SOFI,2026-09-02,put,0.04,0.05,0.01,0.03,0.04,0.05,0.01,0.03,0.04,0.04
MSTR,2026-09-03,call,0.25,0.31,0.34,0.41,0.28,0.33,0.35000000000000003,0.45,0.25,0.28
AMZN,2026-09-03,put,0.04,0.05,0.03,0.04,0.04,0.05,0.03,0.04,0.02,0.020000000000000004
BE,2026-09-03,put,0.08,0.14,0.1,0.12,0.02,0.34,0.1,0.12,0.04,0.24000000000000002
BMNR,2026-09-03,put,0.05,0.07,0.02,0.03,0.05,0.11,0.02,0.03,0.05,0.09
CRWV,2026-09-03,put,0.01,0.03,0.01,0.04,0.01,0.03,0.01,0.04,0.0199999999999999,0.019999999999999997
GOOG,2026-09-03,put,0.03,0.05,0.01,0.08,0.02,0.05,0.01,0.08,0.04,0.04
MRVL,2026-09-03,put,0.01,0.06,0.01,0.03,0.01,0.06,0.01,0.03,0.0499999999999999,0.049999999999999996
MSFT,2026-09-03,put,0.02,0.04,0.01,0.06,0.02,0.04,0.01,0.06,0.03,0.03
NBIS,2026-09-03,put,0.11,0.14,0.08,0.13,0.11,0.14,0.08,0.13,0.06,0.06000000000000001
NVDA,2026-09-03,put,0.07,0.09,0.07,0.08,0.07,0.09,0.07,0.08,0.0199999999999999,0.01999999999999999
RTX,2026-09-03,put,0.01,0.04,0.01,0.07,0.01,0.24,0.01,0.07,0.03,0.22999999999999998
