tradeDate,ticker,chain_rows,otm_contracts_with_nearer_strike,status
2026-08-19,DG,127,87,evaluated
2026-08-19,DOCU,66,44,evaluated
2026-08-19,F,29,24,evaluated
2026-08-19,FTNT,60,44,evaluated
2026-08-19,GILD,52,28,evaluated
2026-08-19,GNRC,80,61,evaluated
2026-08-19,GS,173,135,evaluated
2026-08-19,JPM,60,46,evaluated
2026-08-19,LRCX,147,120,evaluated
2026-08-19,M,54,44,evaluated
2026-08-19,META,339,288,evaluated
2026-08-19,MPC,4,3,evaluated
2026-08-19,MRK,34,16,evaluated
2026-08-19,MSTR,129,91,evaluated
2026-08-19,PEP,59,43,evaluated
2026-08-19,S,65,50,evaluated
2026-08-19,SE,127,99,evaluated
2026-08-19,SPOT,101,77,evaluated
2026-08-19,TFC,1,0,no OTM call with a nearer strike in returned 1–30DTE slice
2026-08-19,TOST,57,45,evaluated
2026-08-19,TSLA,264,210,evaluated
2026-08-19,UBER,59,42,evaluated
2026-08-19,ZS,72,48,evaluated
2026-08-20,ADM,11,8,evaluated
2026-08-20,AFRM,132,99,evaluated
2026-08-20,AMGN,127,98,evaluated
2026-08-20,AVGO,285,236,evaluated
2026-08-20,AXP,74,59,evaluated
2026-08-20,BKNG,129,110,evaluated
2026-08-20,BMY,50,39,evaluated
2026-08-20,CAT,192,157,evaluated
2026-08-20,CCL,51,41,evaluated
2026-08-20,COIN,139,112,evaluated
2026-08-20,CRSP,90,66,evaluated
2026-08-20,CSCO,90,74,evaluated
2026-08-20,DG,148,107,evaluated
2026-08-20,FDX,77,61,evaluated
2026-08-20,GE,95,75,evaluated
2026-08-20,GILD,72,50,evaluated
2026-08-20,GNRC,86,67,evaluated
2026-08-20,HPQ,75,52,evaluated
2026-08-20,JNJ,50,39,evaluated
2026-08-20,JPM,67,53,evaluated
2026-08-20,LLY,205,149,evaluated
2026-08-20,LUV,64,52,evaluated
2026-08-20,MPC,19,15,evaluated
2026-08-20,MRK,71,44,evaluated
2026-08-20,MRNA,260,207,evaluated
2026-08-20,MS,53,40,evaluated
2026-08-20,MSTR,178,132,evaluated
2026-08-20,NCLH,39,31,evaluated
2026-08-20,NEM,101,71,evaluated
2026-08-20,NVDA,166,134,evaluated
2026-08-20,RCL,94,74,evaluated
2026-08-20,RH,119,87,evaluated
2026-08-20,S,77,60,evaluated
2026-08-20,SCHW,61,48,evaluated
2026-08-20,SMCI,122,97,evaluated
2026-08-20,SPOT,173,137,evaluated
2026-08-20,TEM,81,55,evaluated
2026-08-20,TFC,6,4,evaluated
2026-08-20,VFC,37,31,evaluated
2026-08-20,WMT,78,63,evaluated
2026-08-21,ADM,10,7,evaluated
2026-08-21,APP,140,116,evaluated
2026-08-21,AVGO,254,206,evaluated
2026-08-21,BABA,122,99,evaluated
2026-08-21,BX,81,55,evaluated
2026-08-21,COIN,125,96,evaluated
2026-08-21,CVNA,98,75,evaluated
2026-08-21,GS,201,147,evaluated
2026-08-21,HOOD,111,80,evaluated
2026-08-21,HPQ,69,48,evaluated
2026-08-21,JNJ,44,32,evaluated
2026-08-21,JPM,62,48,evaluated
2026-08-21,LRCX,155,124,evaluated
2026-08-21,MELI,233,168,evaluated
2026-08-21,MRK,53,33,evaluated
2026-08-21,MRNA,188,132,evaluated
2026-08-21,MSTR,146,104,evaluated
2026-08-21,NEM,78,50,evaluated
2026-08-21,RH,110,83,evaluated
2026-08-21,TEM,65,40,evaluated
2026-08-21,TFC,4,3,evaluated
2026-08-21,TOST,57,41,evaluated
2026-08-21,TSLA,274,216,evaluated
2026-08-21,TTD,34,28,evaluated
2026-08-21,WMT,61,48,evaluated
2026-08-21,WYNN,72,54,evaluated
2026-08-24,AMGN,118,85,evaluated
2026-08-24,CAT,171,137,evaluated
2026-08-24,CPNG,44,36,evaluated
2026-08-24,GS,201,147,evaluated
2026-08-24,JNJ,62,45,evaluated
2026-08-24,LI,49,38,evaluated
2026-08-24,LRCX,178,138,evaluated
2026-08-24,MELI,215,155,evaluated
2026-08-24,MGM,39,31,evaluated
2026-08-24,MRNA,195,155,evaluated
2026-08-24,MSTR,194,141,evaluated
2026-08-24,NVDA,162,126,evaluated
2026-08-24,RBLX,107,82,evaluated
2026-08-24,S,90,72,evaluated
2026-08-24,SCHW,60,45,evaluated
2026-08-24,STX,321,260,evaluated
2026-08-25,ABBV,60,44,evaluated
2026-08-25,ACN,72,51,evaluated
2026-08-25,ALAB,189,146,evaluated
2026-08-25,AMAT,230,187,evaluated
2026-08-25,AVGO,250,199,evaluated
2026-08-25,CAT,165,132,evaluated
2026-08-25,CPNG,42,33,evaluated
2026-08-25,CSCO,84,67,evaluated
2026-08-25,GNRC,88,68,evaluated
2026-08-25,HPQ,92,68,evaluated
2026-08-25,LOW,63,50,evaluated
2026-08-25,LRCX,166,125,evaluated
2026-08-25,M,62,47,evaluated
2026-08-25,NVDA,172,138,evaluated
2026-08-25,PANW,192,149,evaluated
2026-08-25,TEVA,56,42,evaluated
2026-08-25,TFC,4,3,evaluated
2026-08-25,TOST,65,47,evaluated
2026-08-26,ABT,67,50,evaluated
2026-08-26,AFRM,133,97,evaluated
2026-08-26,AMAT,213,171,evaluated
2026-08-26,AMGN,107,76,evaluated
2026-08-26,APP,132,100,evaluated
2026-08-26,AVGO,274,224,evaluated
2026-08-26,CEG,94,69,evaluated
2026-08-26,CPNG,40,31,evaluated
2026-08-26,CVNA,83,61,evaluated
2026-08-26,DOCU,103,79,evaluated
2026-08-26,GM,68,51,evaluated
2026-08-26,GS,183,128,evaluated
2026-08-26,LRCX,156,116,evaluated
2026-08-26,LVS,59,45,evaluated
2026-08-26,NEM,101,72,evaluated
2026-08-26,NVAX,42,35,evaluated
2026-08-26,NVDA,186,150,evaluated
2026-08-26,PANW,186,148,evaluated
2026-08-26,TOST,60,42,evaluated
2026-08-26,TWLO,95,71,evaluated
2026-08-26,UAL,108,83,evaluated
2026-08-26,W,116,86,evaluated
2026-08-27,AMAT,254,203,evaluated
2026-08-27,ANF,127,76,evaluated
2026-08-27,AVGO,297,234,evaluated
2026-08-27,BE,178,135,evaluated
2026-08-27,BMNR,76,52,evaluated
2026-08-27,BMY,59,45,evaluated
2026-08-27,CCL,58,48,evaluated
2026-08-27,CRDO,198,147,evaluated
2026-08-27,CRM,50,31,evaluated
2026-08-27,CVNA,103,73,evaluated
2026-08-27,GAP,107,80,evaluated
2026-08-27,GS,221,161,evaluated
2026-08-27,HOOD,160,112,evaluated
2026-08-27,LEN,95,70,evaluated
2026-08-27,LOW,65,52,evaluated
2026-08-27,LRCX,175,130,evaluated
2026-08-27,MELI,279,215,evaluated
2026-08-27,MS,62,45,evaluated
2026-08-27,MSTR,169,106,evaluated
2026-08-27,PANW,188,129,evaluated
2026-08-27,PYPL,75,60,evaluated
2026-08-27,RCL,106,82,evaluated
2026-08-27,S,98,69,evaluated
2026-08-27,TFC,4,3,evaluated
2026-08-27,WMT,84,69,evaluated
2026-08-28,AFRM,106,79,evaluated
2026-08-28,AMAT,232,192,evaluated
2026-08-28,AVGO,290,230,evaluated
2026-08-28,BE,172,139,evaluated
2026-08-28,CPNG,45,34,evaluated
2026-08-28,CVNA,96,71,evaluated
2026-08-28,EXPE,107,76,evaluated
2026-08-28,FDX,76,56,evaluated
2026-08-28,HPE,121,84,evaluated
2026-08-28,NBIS,173,142,evaluated
2026-08-28,NU,34,28,evaluated
2026-08-28,NVDA,123,100,evaluated
2026-08-28,OKTA,87,66,evaluated
2026-08-28,RBLX,96,74,evaluated
2026-08-28,SOFI,59,47,evaluated
2026-08-28,TFC,4,3,evaluated
2026-08-28,VRT,127,97,evaluated
2026-08-28,WMT,73,59,evaluated
2026-08-31,AI,65,54,evaluated
2026-08-31,AMAT,207,173,evaluated
2026-08-31,AVGO,305,243,evaluated
2026-08-31,DOCU,98,62,evaluated
2026-08-31,EXPE,103,78,evaluated
2026-08-31,HPE,116,83,evaluated
2026-08-31,MCD,48,36,evaluated
2026-08-31,MSTR,177,128,evaluated
2026-08-31,NKE,61,49,evaluated
2026-08-31,TOST,66,51,evaluated
2026-09-01,AI,68,57,evaluated
2026-09-01,ALAB,188,149,evaluated
2026-09-01,AMGN,111,82,evaluated
2026-09-01,C,81,60,evaluated
2026-09-01,CCL,43,35,evaluated
2026-09-01,CPNG,39,33,evaluated
2026-09-01,DG,85,58,evaluated
2026-09-01,DOCU,103,70,evaluated
2026-09-01,EXPE,100,84,evaluated
2026-09-01,GME,74,63,evaluated
2026-09-01,GOOG,84,66,evaluated
2026-09-01,GS,182,146,evaluated
2026-09-01,NET,125,96,evaluated
2026-09-01,RBLX,82,60,evaluated
2026-09-01,RCL,82,67,evaluated
2026-09-01,TFC,4,3,evaluated
2026-09-01,TTD,45,37,evaluated
2026-09-01,W,117,94,evaluated
2026-09-01,ZIM,61,46,evaluated
2026-09-02,ABT,68,54,evaluated
2026-09-02,AFRM,88,66,evaluated
2026-09-02,AI,65,53,evaluated
2026-09-02,AKAM,116,92,evaluated
2026-09-02,AVGO,308,241,evaluated
2026-09-02,CRDO,114,101,evaluated
2026-09-02,DOCU,98,65,evaluated
2026-09-02,FDX,70,56,evaluated
2026-09-02,GOOG,79,63,evaluated
2026-09-02,GOOGL,123,98,evaluated
2026-09-02,HUM,118,85,evaluated
2026-09-02,LVS,53,42,evaluated
2026-09-02,ON,88,68,evaluated
2026-09-02,ORCL,131,78,evaluated
2026-09-02,TFC,3,2,evaluated
2026-09-02,TSLA,226,179,evaluated
2026-09-02,WDAY,79,56,evaluated
2026-09-03,ALB,144,103,evaluated
2026-09-03,AVGO,223,184,evaluated
2026-09-03,CCL,47,38,evaluated
2026-09-03,CRDO,135,114,evaluated
2026-09-03,CVNA,105,75,evaluated
2026-09-03,DG,109,78,evaluated
2026-09-03,FTNT,71,52,evaluated
2026-09-03,GME,97,82,evaluated
2026-09-03,HUM,146,106,evaluated
2026-09-03,KHC,38,31,evaluated
2026-09-03,LVS,58,45,evaluated
2026-09-03,MPC,13,11,evaluated
2026-09-03,MSTR,187,125,evaluated
2026-09-03,SE,150,113,evaluated
2026-09-03,SOFI,63,49,evaluated
2026-09-03,SPOT,147,105,evaluated
2026-09-03,TOST,72,59,evaluated
2026-09-03,TTD,59,46,evaluated
2026-09-03,VKTX,116,84,evaluated
2026-09-03,VST,81,57,evaluated
2026-09-03,W,150,111,evaluated
2026-09-03,WDAY,98,72,evaluated
2026-09-03,ZS,207,159,evaluated
